tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;poland;0.999999;;;
0;middle_aged;poland;0.999999;;;
0;old;poland;0.700001;;;
1;young;poland;0.999999;;;
1;middle_aged;poland;1.000000;;;
1;old;poland;0.700000;;;
2;young;poland;0.999999;;;
2;middle_aged;poland;1.000000;;;
2;old;poland;0.700001;;;
3;young;poland;0.999981;;;
3;middle_aged;poland;0.969392;;;
3;old;poland;0.700000;;;
4;young;poland;0.700005;;;
4;middle_aged;poland;0.700001;;;
4;old;poland;0.700000;;;
5;young;poland;0.700001;;;
5;middle_aged;poland;0.700000;;;
5;old;poland;0.700000;;;
6;young;poland;0.700001;;;
6;middle_aged;poland;0.700000;;;
6;old;poland;0.700000;;;
7;young;poland;0.700000;;;
7;middle_aged;poland;0.700000;;;
7;old;poland;0.700000;;;
8;young;poland;0.700000;;;
8;middle_aged;poland;0.700000;;;
8;old;poland;0.700000;;;
9;young;poland;0.700002;;;
9;middle_aged;poland;0.700000;;;
9;old;poland;0.700000;;;
10;young;poland;0.700000;;;
10;middle_aged;poland;0.700001;;;
10;old;poland;0.700000;;;
11;young;poland;0.700001;;;
11;middle_aged;poland;0.700000;;;
11;old;poland;0.700000;;;
12;young;poland;0.700004;;;
12;middle_aged;poland;0.700000;;;
12;old;poland;0.700000;;;
13;young;poland;0.700000;;;
13;middle_aged;poland;0.700002;;;
13;old;poland;0.700000;;;
14;young;poland;0.713028;;;
14;middle_aged;poland;0.700000;;;
14;old;poland;0.700000;;;
15;young;poland;0.848567;;;
15;middle_aged;poland;0.903168;;;
15;old;poland;0.700000;;;
16;young;poland;1.000000;;;
16;middle_aged;poland;1.000000;;;
16;old;poland;0.700000;;;
17;young;poland;0.999997;;;
17;middle_aged;poland;1.000000;;;
17;old;poland;0.700000;;;
18;young;poland;1.000000;;;
18;middle_aged;poland;1.000000;;;
18;old;poland;0.700000;;;
19;young;poland;1.000000;;;
19;middle_aged;poland;1.000000;;;
19;old;poland;0.700000;;;
20;young;poland;1.000000;;;
20;middle_aged;poland;1.000000;;;
20;old;poland;0.700000;;;
21;young;poland;1.000000;;;
21;middle_aged;poland;1.000000;;;
21;old;poland;0.700000;;;
22;young;poland;1.000000;;;
22;middle_aged;poland;1.000000;;;
22;old;poland;0.700000;;;
23;young;poland;1.000000;;;
23;middle_aged;poland;1.000000;;;
23;old;poland;1.000000;;;
24;young;poland;1.000000;;;
24;middle_aged;poland;1.000000;;;
24;old;poland;1.000000;;;
25;young;poland;1.000000;;;
25;middle_aged;poland;1.000000;;;
25;old;poland;1.000000;;;
